location_key,country
6b6ba1ff42a67dc53bb71220095c3148,"Hong Kong, China, United States"
86cd13da6f168099dd50859c3d5a099e,"Canada, France, United States"
21be3a434c60c04b41c09601df22d71a,"Spain, Canada, United States"
83363fb96f7494b49b163afbe52d6e2b,"United States, Venezuela"
547dea70b0d725df2d6b0d60a98a1803,"Uruguay, Guatemala"
18b5d7f7e5baddb8102357265151fc51,"Canada, Norway"
0f969fcfe584fef9bef7f4ca654c4bac,"Chile, France"
07c3477bacbf275e47ab5dfa85e1ebe8,"India, Switzerland"
490a08da48472224ff598347b3b89fc6,"France, Norway, Lebanon, Belgium"
2493a48a4af240057f6eb2fbaa1a8611,"Peru, Germany, Norway"
153afb617e4f4279a04d6f09d067f808,"United Kingdom, Kenya"
dff186318ad55acf977f131e54348245,"Philippines, Qatar"
98752861694b43993f5317d9d517cc53,"United Kingdom, Canada, United States, Germany"
0ddc8a133c115edca8293d355ab4df6a,"India, Turkey"
2c4cc62efbf773fcd0c92f76eb212b84,"United Kingdom, Germany, Canada"
39a2b711573c8640309e10bdb3b8daf4,"Netherlands, Denmark, South Africa"
4d4803b0bb7dab1b0627e4f8277edc5b,South Korea
a4c2853d57e700a8c38130a31d64834d,"United Kingdom, Australia, Canada, United States"
037c337b60aa0875327ee06399e658d4,"United Kingdom, Belgium"
04ef8fdd2f6728db072ccefdbcb125ef,"Switzerland, France"
1cbbb38d31e36f9b1e8698ba0e58ba1c,"United Kingdom, France"
c20093a8005b746af3bd354dbf226519,"United Kingdom, Russia, United States"
ef3388cc5659bccb742fb8af762f1bfd,Colombia
211c717cb762932c9b8a53336d4db173,"Canada, India"
01f3775d65f8177817b747db46ea4992,"United States, Iceland"
8c569197bf8a05a92d9765fb11bf5470,"Indonesia, Singapore"
3ad08396dc5afa78f34f548eea3c1d64,Switzerland
6fb55a4dbe085a1e838749411cb45835,West Germany
a503f637387afbf84c342b115ae9eeff,"Netherlands, Belgium, Germany, Jordan"
6a2403a5fbb19a44907eb42e34d6b6c4,"India, Malaysia"
dcb1d2d84e1d5fbecc62648b651852f5,"United Kingdom, China"
2037831ddeadc44eaa8592e825ef634c,"France, Belgium"
5a3c3651abb3681356de7ec1ac83e209,"India, United Kingdom"
717e9146a228d62725b84ba09f11a184,"United States, Germany, Australia"
6cfbf278af330ef0a3aa1d4e82675264,"United Kingdom, South Africa, France"
cc0f97f536da59d3059dd41d526f2e96,"United States, Norway, Canada"
9891739094756d2605946c867b32ad28,Austria
84c8fa2341f7d052a1ee3a36ff043798,Peru
4f8cd1768131b664c182d9f25aae3cfb,"South Africa, Nigeria"
d5847d76b8eb9d7252cd0fa196a93a7f,"United Kingdom, Italy, Israel, Peru, United States"
c69700716187360c475631b5a145c4b1,"Norway, Germany"
f85b74e29b43fa9b664f7850f68aea93,"United Arab Emirates, United States, United Kingdom"
a6d3bea3fa66775952e080b90bb0c4f1,Mozambique
c8107f17e3aaed63ab0e66bf5bbdd626,"Philippines, United States"
9a8f2d29ff24bd37bc6e4cf531074027,"Australia, New Zealand, United States"
dd8e166c5181689ed37bd65770643b4a,"Saudi Arabia, United Arab Emirates"
3e7fa8f7fbd2ea3464361619595e835d,"United States, France, Japan"
2f30ea7d5dedceab825d53e9f3d7d8bb,"China, United States, United Kingdom"
0906e9c95bd26109efe6d4147d06a173,"United States, United Kingdom, France"
5ee878a6482785519d644588251e950b,"United Kingdom, Germany, Spain, United States"
b1251ce3789517168616823b12882134,"United States, United Kingdom, India"
799e78dcfe4d494ea67b7c402473f7d4,"United Kingdom, Canada"
3f48d4b10da0850a47e1b0c9fb7e9404,"Ireland, Canada, United Kingdom, United States"
3bb22916aaefa134d547c3ff822032ea,"India, Germany"
2e6507f70a9cc26fb50f5fd82a83c7ef,Chile
62a1804fa50a618da0e104a771246a01,"United States, Greece, United Kingdom"
d11842aa1892a1030db91cbf75e70df7,"South Africa, Angola"
c2151eeb7afd97d3791ca062ea8721c0,"United States, Canada, Japan, Panama"
91a92b5fc7c44387726fcbbe98478131,"United States, New Zealand, Japan"
74d9c35984bf0744039a43a4150410ae,"Taiwan, Hong Kong, United States, China"
4ab31b9e3c6d7f27629e3169bab161e9,"Canada, South Africa"
24238fd49c3cbf3bc99622fc8d178a5c,"India, United Kingdom, France, Qatar"
f4c4a97bf46fed97d58688d81b6b9952,"United States, Indonesia"
f4b655c5168094aae33d050117306850,"United States, Sweden, Norway"
fdef6daa799e80dbce1b561577b21181,Vietnam
dad42898a2b5121ae564bf9268c94c9d,"China, United States, Australia"
3d9e20a575f86aa3b53b07e266a06d6c,"Canada, Nigeria, United States"
06630c890abadde9228ea818ce52b621,Luxembourg
9bb3da3cc0af81a8ec3f85e9af8d6f11,"Norway, Germany, Sweden"
ff55db138b1888b57ee9931f7a600909,"United Kingdom, Namibia, South Africa, Zimbabwe, United States"
539795cf2a4b2865c9841025ee761f22,"Sweden, Netherlands"
cdedfdddcbb435a0656b029f407e0d73,"Mexico, France, Colombia"
e89e1919153e11a62ac300def66fde63,"Spain, Switzerland"
e0650d85af9b1f49379e5110ca9777be,"Germany, France"
62892f82ef21b530ed17aa66fec0ce97,"Belgium, United Kingdom, United States"
c9325eaa979a0f1b85f5f3eb941404c3,"Singapore, United States"
92d977a2ecacecff22a414aa25b1a1d2,"Canada, United States, Cayman Islands"
e688032a361bfc1def73374c39f6e8dd,"Canada, United States, United Kingdom, France, Luxembourg"
6bac057321ab45e9a6542a0358cb2221,"United States, Japan"
12006e969f93157b7aeb4111bf6885bc,"United Kingdom, Canada, France, United States"
30a21be4b6c9c303edc934e27b23a0ca,"Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands"
41a35ac3ad09a89a81aa75a4684b7d94,"United Kingdom, France, Germany"
4a61ef4ca8f92d36f670410bf01b8d96,"Australia, France"
103357e3e40a9c0e4e9d36110f7bbc7a,Thailand
612ba7aa88ea6f054db2a76c05ef694d,"Egypt, Algeria"
e5a8300cce4a74eb4598d8e03f532558,"Poland, United States"
0578451f8ca1a5fb405622bfcc5c1826,"Singapore, France"
b9e6105bbdf6bf23a4aeb23b83ffc1cf,"Lebanon, United States, United Arab Emirates"
79b912ace3e56dd8772a00f88fc7b4fb,"Serbia, South Korea, Slovenia"
213948749e030dc9c3f6e5becd92af81,"Mauritius, South Africa"
2d6dc3c5f3b0f42b49c80e268573b951,"United Kingdom, France, Belgium, Ireland, United States"
edd3b49b99be739ae944e83048dde2ad,"United Kingdom, India, Sweden"
b9394f39a312d56ddb30d99c37fb336f,"Australia, United Kingdom"
5d02e4e51a5825c31397954c4f2a1d6c,"New Zealand, United Kingdom"
89901f5dc11ce25d56f8be9822dd01af,"Russia, United States, China"
0c7d5ae44b2a0be9ebd7d6b9f7d60f20,Romania
65cf2cbe2bcb2a33f4e7ac46b2276b07,"United Kingdom, Germany, United Arab Emirates, New Zealand"
587d6ad5aa58e1c861d182f4879d4746,"Israel, Germany"
5f2057412af13de6f144d77677ba6ccd,"Germany, Sri Lanka"
1bbe6c87652866d23ba651e1909c8065,"Spain, Portugal"
89f9c9f489be2a83cf57e53b9197d288,United Kingdom
6c1674d14bf5f95742f572cddb0641a7,Belgium
7bc3cfba3afa20128f976a491eed1529,"United States, Germany, Mexico"
96a234e69468a3ef3de57ffcc7e69966,"United States, Russia"
c9e31416da46c4fa363d8ad810be7ffc,"United Kingdom, United States, France, Italy"
a44c9c6983a9a1f34ec669c60daa8b3c,"United States, Nicaragua"
dd0cb8247c1edb6e0a247fd081dd1655,"Norway, Iceland, United States"
551fe18ef47d4e6e9d943b9a68ada21d,Taiwan
ad546ae73a7246944a939ba79462650a,"Lebanon, United Arab Emirates, France, Switzerland, Germany"
159d90dfec7d93803585aa066b4b49f5,"Spain, France, Canada, United States"
167e4e34e8fe769c1553eedb3c3e1f2a,"United Kingdom, France, Germany, Spain"
aaa23b50e6790e7c720b002cf51367bd,"United Kingdom, Spain, Belgium"
eada819634d0164c6a7547bdcc405033,Georgia
445d337b5cd5de476f99333df6b0c2a7,Canada
950a20666fa76e938a5478e70218678f,"Canada, United States"
7f889bbf6ddc9884f3cd5048bb58239a,"United States, Czech Republic, United Kingdom"
b4fbe1973ca485f12768d7a9f6027935,"United States, Bulgaria"
598418147bae1117b66b034c009130b7,"India, United States"
b7b7658f0bb234a6bc7ef7fc838ba6e8,"United Kingdom, Australia, United States"
0e43ca317f46ad6bb1a475b7ad91e835,"Canada, United States, Mexico"
3f0e49c46cbde0c7adf5ea04a97ab261,Malaysia
9d5116a2451bc98c2b46b93acbc1b4f0,Zimbabwe
2554e1fba1a943a1c74d962b6ac28a5a,"Austria, United States"
e1bd5bd8db70c047d3942426936bc4cc,"Philippines, Canada, United Kingdom, United States"
f3a71aae8147a956054b0cd86735b953,"Brazil, Netherlands, United States, Colombia, Austria, Germany"
0aabca34a14a2e3931dd9a2c66b8faff,"France, South Korea, Japan"
3f2e1dad92cc18db44d27aab6d6406f5,"Germany, United States, United Kingdom, Canada"
66efaaf41192f75b30107210d14b234e,"Germany, United States, Canada"
eddfd13908ae9bad0c1c21c8ec4073c7,"Switzerland, France, Belgium, United States"
c8dec88e4807ff9f267f5929c3cba41e,"Ireland, Switzerland, United Kingdom, France, United States"
d9e8aedccc3d40acccf3badd1ba25193,"Spain, Thailand, United States"
e94f76a14706c03d691ef7a71b4ab0fb,"Canada, Belgium"
03400831e3e0f2776eb89844553da270,"France, United States, Mexico"
06c7a3c3a3344a62864b951aec4df830,Cambodia
816e06eced15e491b3699b862ce1837e,"France, Belgium, Italy"
56cbd4c8a79a50420e3fa4095c5a71f6,"Norway, Denmark, Sweden"
a5c5f0d13a06373acebf81f9dae43c81,"United Kingdom, France, Canada, Belgium, United States"
0503df198a22235c7b257dffa5db92a7,"Italy, Canada, France"
fbf8301640d7ee64ec33984d3098ef1e,"United States, Spain"
221cdfb73049678e244380b45872cbb2,Turkey
0309a6c666a7a803fdb9db95de71cf01,France
b46ea25b0462579bc040ae30722f30ba,"Canada, South Korea, United States"
e490f9f95f61f4f13858def1226152f4,"United States, Hong Kong"
f330e32be60367dd6933e27bf5c4b287,"United States, United Kingdom, Canada, China"
43fa7059467d06d4ab62e9db13626746,"United States, Canada, China"
ab0e39ab8f7cf81c3c65595cc92d2a32,"France, Germany"
e0eaa99626bf221576255c70e2fc5cab,"Ghana, United States"
62ddb7932f6b9c8c7422a77d32cafd23,"Philippines, Singapore, Indonesia"
c9557d12d445a1f0adf768d2c0394921,"United States, Uruguay"
8e80cc7733c7205ecb0b468e11066c12,"Uruguay, Argentina, Spain"
2ca1812acf36cbc4e72fc985af80e92c,"United States, Philippines"
7b61744308a47b691f1ee50bde0611bf,"United Kingdom, Australia"
e1ace9e02eef7992d178e39abf9426a4,"Egypt, Denmark, Germany"
e405adad44002f620864df222483968f,"United States, Singapore"
6c27b1357c4b56459f3e1f4b3acc9530,"South Korea, United States"
943492a820b702a3dd3167aa6d298715,"Saudi Arabia, Netherlands, Germany, Jordan, United Arab Emirates, United States"
f6cfb2c55522a546b40b10cc21a7c296,"France, Iran, United States"
4bb181aca91d19ddd93000d26ecfbad4,"Sweden, United States"
3e9d7a90274f74d04e8a5255d3be6970,"Brazil, India, China, United States"
ea77463954e30cf7a8b8478996cf2897,"Spain, Mexico"
de5b33df606a6bf7c6d59df2e26409e1,"Portugal, Spain"
9ea2df4a1aa6d3f7e2ca8b85263449c6,"United States, Senegal"
4ceb8e20a1c442b5f33854baf721c336,"Canada, Japan, Netherlands"
fa0b1c1f2a358b27d473d5b9042774c4,"Mexico, Argentina"
628677534ec871f3335b5c42c87b5598,"United Kingdom, Canada, United States, Cayman Islands"
c719c1deea11f0cbf2b74bcab0bdc3d2,"Ireland, Canada, Luxembourg, United States, United Kingdom, Philippines, India"
aa52af9f16bcb810446002f249b6fd62,"United States, New Zealand"
a34d404ab94a348a1f5e4ac7f152c7b7,"United States, Switzerland"
531d0c2368b9784cb3ad404f0d554702,"Canada, Germany, France, United States"
577a90210fec1524e386e60372955845,"France, Germany, Czech Republic, Belgium"
9d888da5407626450969362fbb30298d,"Colombia, Peru, United Kingdom"
ce0be9cdc8187c4f06f9bae7b2b9a993,"France, Netherlands, South Africa, Finland"
5e655f8c0096103c4022ec6e1263e817,"United Kingdom, India"
9eaa361a04af0261ef5559200cf2986a,"France, Algeria"
bad2c27471bb430ffc2edf8af1e318b4,"United Kingdom, Lithuania"
93196645de0ed1f50d2b9f3b8dff12ea,"Australia, Canada"
1f1eed693638cbaa9bc4728a4138a503,"France, Canada"
a789f2191153c1dad555934787a39a50,"China, United States"
5f008f0025d572a24aa05ae7b4f82c6b,"Switzerland, Vatican City, Italy, Germany, France"
4ffdc39d5b2df38ee3f10b20bdb0dc66,"United Kingdom, Czech Republic, United States, Germany, Bahamas"
5457d17500ee7406bedef10265f2abe4,"United States, Italy, United Kingdom, Liechtenstein"
538aef1fd175559a4d29173dd375f68c,"United States, Chile"
f99e26230c59ce8a05fac87a75aa12c4,"France, Germany, Switzerland"
5a32d3e7ab4dc4184136b4037b5b8876,"United Kingdom, United States, Czech Republic"
2561a7303c761a4b84763a2f86fe7b9c,"India, France"
02c1e0b9a7ab2b8afc079bc5dd18ba75,"Mexico, United States, Spain, Colombia"
646f06650b0534bfeba79d0be0d9f1f7,"United Kingdom, Israel, Russia"
2531c82964fe0edd517e7ac97cc5dd70,"Argentina, France, United States, Germany, Qatar"
f92557a972a119fc1b462388840c0de6,"United States, France, South Korea, Indonesia"
ed312a275d91fd7f038dd713bc9abbe6,"United States, France"
3c3e384178ec44d9610ee3dc6b81fa2f,"Hong Kong, Iceland, United States"
a380269d910008e996bf4895f5b5e509,"Canada, Germany"
aec63e8b61d0258f295ee3a35297153e,"Canada, United States, Germany"
17f4cd1890c7693219c6ad5540327af0,"United Kingdom, France, Germany, United States"
2c32e15a02753e9e0f8c9a7e54374ef8,"United Kingdom, Czech Republic, Germany, United States"
aa221b479e75754eca6911953232b52f,"Ireland, United Kingdom"
8889e06b7a452e8ccec420d1c9e97d08,"France, Malta, United States"
ea50260b0d4cd4e843d230a7166e827a,"Germany, Canada, United States"
01a151debf2bfee8906f43f4342eb10b,Bulgaria
98d3c7f4390e4e9c6bc6f8dcbeb89fcc,"Ireland, United Kingdom, Italy, United States"
fb85d2ecabb7bee283f5905d2e5acb23,"Pakistan, United States"
31bd98b5f129e564e8e2e20b56836c2f,"Australia, Germany"
aef87ff6e7cdbf8824a7e5a314d3d210,"Canada, Spain"
7aef6ec613de094f573959f9268b948c,"Chile, Brazil"
cb1bbb243ba37dd6525680b8fafa0d18,"Germany, Czech Republic"
b5316f83d42453eb0d2c7b48d82e2f8a,"Turkey, France, Germany, Poland"
499b62d1c4071ac074a75c47c0aa882a,"Norway, Denmark, Netherlands, Sweden"
b9409ca498818346070a13f1b28d4ed7,"Denmark, China"
93fe39912a3dd351e82b976f0964d403,"Italy, United States"
b864b18de28e4e82ebd2b8c6d10e8872,"United States, Sweden"
fc7b6a0890329a8bc12ee7afd2a69fe0,"United Kingdom, Denmark, Canada, Croatia"
db32b5f2b4f83dcc3ff756370e01d74d,"United States, France, Canada, Spain"
b02967e1e261feb8244f1213e5464d75,", France, Algeria"
b04ec8848c7892d1b5df4338a6c0d8b4,"United States, South Korea, China"
025709476330a30fddf9e29b82590ea2,"United Kingdom, South Africa, Australia, United States"
6df02952694f868cc3e93561d4815603,"United Kingdom, Pakistan"
7b95cc9697fcd38937eb15df004c6331,"United States, China, United Kingdom"
c315a66231f8b16704ca05c06975eb43,"United States,"
a2c8f8c983446ee8f8fa43ab1333079b,"Pakistan, United Arab Emirates"
0412c200570909ed10403e7cac246005,"India, Japan"
4be25f9d27da71d4e98775668b5b12af,Cameroon
263846a799bf4a5cbb45c8669d7fd0c0,"Romania, France, Switzerland, Germany"
0eddd048b5a87092c73b52cde0edc863,"Lebanon, France"
fb572f4e476e657feb8595ab2440e566,"Japan, Canada, United States"
aeefc24b7b9846781c3a33568772249f,"United States, South Korea"
9ae8d53050563ae2522e0f4e3ab15a75,"France, Australia, Germany"
c51ed580ea5e20c910d951f692512b4d,New Zealand
d7eccca8a061b7726d47cfc72e1dc8bb,"Canada, United Kingdom"
9bfc1f30cf359d4ad9f7708e8bb8f653,"France, Egypt"
6f1f33f00d479acbbe2c7f372626a61d,"Canada, United Kingdom, United States"
c4ef691fe79f8dc07c4e5fddf49048e7,"United Kingdom, Egypt, United States"
d6d505d1ef5b77857dc24f43bc3c8af0,"South Africa, Germany, Netherlands, France"
4f548ddd1a0ecec9879561d15f6ddd2f,"Belgium, France, Netherlands"
d93a41e15fcc6ae3bea59a8187d95a65,"United Arab Emirates, Jordan"
6fe410509d716a7375593776fa022e6a,"France, Luxembourg, United States"
5912770ff286d0b7fcd4d7ca31f48425,"United States, France, United Kingdom"
3ee6320e2faa4203aab13fca78fd6312,"Italy, India"
3999b521884101b7228ffff8924799b8,"United States, France, Denmark"
69305872692f4640c0013334e638ead3,"United Kingdom, United States"
1b1a25ecd42d88ac4ab23a2e730efa3c,"Spain, Italy, Argentina"
7d31e0da1ab99fe8b08a22118e2f402b,India
bfceaf33fb1cdf786381057e62487c26,"China, Hong Kong, United States"
49d90c0ac5b78248e03a4d400a7b9f3c,"South Africa, United States"
8b449fb5ee62ae3801f57fd451a44e06,"France, United Kingdom, United States"
9fe1131668d9543e007c97f316333f9b,"United Kingdom, France, Belgium, Canada, United States"
eb7a6a639f56a0c262538bb134a47551,"Serbia, United States"
485747088dbe3fb79d2cf36b9a24bb0c,"India, Canada"
94880bda83bda77c5692876700711f15,Poland
fa97d58703c6661450aa48435e507bc8,"Germany, United States, Sweden"
8e7406f2d65e0a2822260f4802176693,"United Kingdom, United States, Morocco"
15e7c6419c8515bc4ef67ba7b06f9148,"France, United Kingdom, India"
b41daf688c9effa4da9e923760720107,"Belgium, Ireland, Netherlands, Germany, Afghanistan"
c78b79fbda39540991db9bca3e77bdb2,"Chile, Spain, Argentina, Germany"
b3cf8a2fe3ac64bcaea42972e7828582,"Italy, France, Switzerland"
61c8098835b9fa465ce56bf662bd32cb,"United Kingdom, Spain, United States, Germany"
90d44345c7d91702d601d3ba8c3b6e6a,"Poland, West Germany"
43f67b52f79dc14bbae0961071bd3732,"Lebanon, Palestine, Denmark, Qatar"
33bf63efa6a6fd9c1ae29757742efd81,"Germany, United States"
a740a1e030ad4e199c44fbb63f1f747d,"Turkey, United States"
89bc447ddedff30874a02fef0ad8c281,"United Kingdom, Japan"
8f6f28f0d2061af28bcf49d1725b2cbd,United Arab Emirates
a67d4cbdd1b59e0ffccc6bafc83eb033,Netherlands
ce44524f390661bea9686d0979fd2fef,"United States, Taiwan"
94984a8c4896946d9bafd24959cb6181,Kenya
e73a8c18e82c722ea129a10ad4f3dc23,"Italy, United Kingdom"
9986531359550785caffb2032622437f,Senegal
85e5f5f134d84d7feb1d4567ca21c369,"Canada, India, Thailand, United States, United Arab Emirates"
7b2e7c1d0ce5d149a43c7175acafbf4d,"Denmark, Brazil, France, Portugal, Sweden"
a70ff366e9bb5c7690cc0550c1f158f9,"South Korea, Japan"
8d032329c91b2f56b4e0d04edcacc343,"Spain, France, United States"
02b10b5cfec6cb7f2e4a4dc89e33a54f,"Spain, United Kingdom"
a2b3fd9410b5218d84ff896e0b53dad6,"United States, France, Serbia"
94f238cb9345134c3ed57c12a47d7e7f,"United States, Morocco"
06808cda0ae0642661d264c01ade373e,"United States, United Kingdom, New Zealand"
57d60ae221c46c5168780ee862d4a86a,"United Kingdom, South Korea"
3f1790f69e94b4cb25888ef48dbf60a2,"United States, United Kingdom, Germany"
d044784615c8571d035843b84ccfe510,"United Kingdom, Nigeria"
4d2cdf0650a70f2c70d8222eb49bfea4,"United States, Israel, Italy, South Africa"
4cd935c0c0140bb981f7c91f230e0632,"France, New Zealand"
e95294b730f61c8175550ec244bfcb50,Venezuela
f96a17208f8708a2207cbae29fc0157b,"Georgia, Germany, France"
0da5d4917eb1353f3a441e8559c17d8e,"United States, Poland"
965107f36da2f5c9e61300035f848993,"Austria, Czech Republic"
f6db1496ec76b589b45f573baf11c807,"Denmark, Zimbabwe"
750df78cad695598a8de12dbb51d1222,"Germany, United Kingdom, United States"
b8dc90c5941507099fb2bbf82c371a90,"United States, United Kingdom, Canada"
5d8de2f24f8a7c5a80f400978cf6dfc1,"United Kingdom, Australia, France"
88690a99d19aa16c07c27b4734b19af0,"United States, United Kingdom, Japan"
e36fb3a5b51d0d874f16af49e045d5b3,"Germany, France, Luxembourg, United Kingdom, United States"
77dab2f81a6c8c9136efba7ab2c4c0f2,Philippines
3b0cbe203b86aa79c80a016cac60e6cb,"United Kingdom, United States, Australia"
96e8a9688eb2af9d01dfcf993704436a,"Netherlands, Belgium"
67159fc953ca9c5589d737b7f4200b46,"Australia, United Kingdom, United Arab Emirates, Canada"
b0c2dc8c0918ae7d8ec814516a0a0aed,"United States, Chile, Israel"
2d40b68b12fad434570111d3312ec343,"United States, Hungary"
05e265b69950265ce1ca8f9ae79511d4,"Turkey, Azerbaijan"
2a47cc76c3c20154b430814de2180954,"Netherlands, Denmark, France, Germany"
3237e29261ad8e6ed252b8f96e8e0a2d,"Indonesia, United States"
31021c8a4b57902cedcb0713ad7f50d9,"United States, Mexico, Colombia"
6b18556ed9e67e4caad5b7c76c79fb1a,"Austria, Iraq, United States"
92b2ec788a176baa68f79ed7e27fc61c,"Spain, France, Canada"
bf6d278879cfbb71dcbe461334c176f6,"Italy, Turkey"
69f4287626aee77f93e2c891b518838b,Namibia
06da18122e07cfbfde7f1aa7dd8c7e2c,"Russia, United States"
5571e8e236a2a914906dc2752cf261ad,"India, Germany, France"
7a528ab5db66281936a4416988d7b917,"Australia, United Kingdom, United States, New Zealand, Italy, France"
db6edd5b4f2a94d96316cc363d6a38a2,"France, Japan, United States"
70457442cacbe22339fb4c77ac19a763,"Netherlands, Belgium, United Kingdom, United States"
80b2924bc5d5f94bdd1e416f16ff99d8,"United Kingdom, Poland, United States"
afe3903f0053812facac46ee627b42b8,"Egypt, France"
b0efaf248d3e0ee49b447630733a7193,"Spain, Cuba"
75497a22409db78dcc52c291e078bc10,Uruguay
4bf968d91940ccf5e36a10652c676af1,"Cambodia, United States"
a28f316b1ebb4c47b8722e4f004e2f34,"Australia, India"
18add74f8d25924fc5f077e2202dfb4b,"United States, Botswana"
711a00e7fde3502873415b1bc0f018be,"Israel, Germany, France"
ae11b7b7182ab68b4aa697c7ac298b1f,"United States, Germany, United Kingdom, Australia"
455907626767de7bfdb7cc228372acd1,"United Kingdom, Jordan, Qatar, Iran"
29552de6b1827d896c58936dff4bf7d1,"United Kingdom, New Zealand"
c5dfccbccc4241ffefcb7bd17f69123e,"United States, United Kingdom, Denmark, Sweden"
892cb99e8974789483f38af47c3b82bf,"Belgium, France"
e0583b80903785b7f918629f435a47af,"United States, Australia, China"
1bde3d98940a50e65efce5f2747e6ce6,"Belgium, Netherlands"
8fc5d597b8601ce659d98aede115b553,"United States, Colombia, Mexico"
8ee7645999b130a9b8bf8aff972e0e29,"Mexico, Netherlands"
f0c72ec1e9a8be2bb36838e35df42009,"Italy, Switzerland, Albania, Poland"
11f29ac767165e95dc95fab8a3a92c03,"Chile, Italy"
a69c5fcad31f993b051adf9f7d4531c3,"United States, Ireland, United Kingdom, India"
5b69b7df4197eea300f9b20213b84456,"France, Belgium, Spain"
7b7776ee503bd69606873fc92a7e7b1f,"France, Belgium, United States"
9f718ede54c35801e60c997767685083,"United Kingdom, United States, France, Germany"
2ade19252c0511abc3c9d68db9d35b96,"Italy, Switzerland, France, Germany"
5295d843747a84fca1801f2b0947df22,"United Kingdom, Spain, United States"
44ef0a731cc1772e3b4a63d71255ea50,"United States, Italy, France, Japan"
335d96f4c531a58c9e196a8f1c81b732,"Bulgaria, United States"
c5dcdd61d51cdac1336fe7dde6bdd219,"Hungary, United States"
ba486faff460ff1773eb7214daee592e,"Denmark, France, United States, Sweden"
37c52e75bf98a115c7a07afce39317d9,"United Kingdom, France, Poland, Germany, United States"
96c18c2421e4021b621836fb2fca1ce9,"Chile, Argentina, France, Spain, United States"
d5b9290a0b67727d4ba1ca6059dc31a6,Norway
5feb168ca8fb495dcc89b1208cdeb919,Russia
d656c922c671320ba9f409063063909d,"United Kingdom, Hong Kong"
282cf4ec624fe02d50f855df0ecebd66,"Canada, France, Italy, Morocco, United States"
5fe3873adb942d17050c7f81927d0825,"Egypt, Austria, United States"
85d9ad47e140df97bf4bef3521de589e,"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait"
70b507d4fed8354fc1660cd1b92de140,"Chile, Argentina"
b5b2d58f6817b2fc1c193ad6e347608e,"Czech Republic, Slovakia"
d436f25d21deb9711629c60e4c7d8a1a,"Norway, Denmark"
b474af77a288898084e66b9a3b516cdb,"Egypt, Saudi Arabia"
ad8b79b85206d5134735bf8850f0997c,"United Kingdom, Ireland, United States"
d89ee8b5ba5661b6ab30ccab6fbe0445,"Germany, Australia"
7335cb75737b71938b966e725e9a72e7,"Netherlands, Germany, Italy, Canada"
